Term CValue
time 152.52898155450467
"time points" 83.606615178236524
"temporal features" 67.997120257349195
intervals 64.230495202596003
http 60.996951889275188
"artificial intelligence" 59.574390102653844
"time intervals" 57.883324096228002
ontology 51.032961168725969
"time line" 50.536165278733051
section 48.647753726382831
fig 47.240328412728722
owl 45.970057953956221
ontologies 44.056128112619412
sandewall 43.944491546724393
"semantic web" 43.851293819788246
"time interval" 43.505487178482213
"synthetic theory" 41.588830833596717
allen 40.235947810852508
ermolayev 40.149285458598193
"temporal relations" 39.501747357914248
mcdermott 37.352817814715735
coverage 37.13288467285421
"temporal representation" 37.10334822182827
"temporal logic" 36.381290329696064
"temporal reasoning" 34.106386743174745
"temporal incidence" 33.528312391595506
"features of time" 33.271064666877372
example 33.080472533940323
analysis 32.974001589494542
"temporal properties" 32.388828770830841
features 32.115819365944134
points 31.206477422388627
"reviewed theories" 31.165346784618379
relations 31.040156727448181
future 30.459910976876934
shoham 30.459910976876934
"temporal elements" 30.457043448604324
"computer science" 30.036377824264296
koubarakis 29.933606208922598
interval 29.569658722687265
halpern 29.1886522358297
approach 28.973552147405712
"query language" 28.789716323075549
theories 28.202425909032772
alur 27.725887222397812
"time community" 27.710101960960213
"intl conf" 26.366694928034633
relation 26.152976312665626
"ontologies of time" 26.013345821065482
events 25.08463256919277
duration 24.953298500158027
petrakis 24.953298500158027
"temporal information" 23.965858188431927
"temporal description logics" 23.070858062030304
property 22.758332428384868
beginning 21.972245773362197
reification 21.581057455185338
public 21.501113630736661
predicate 21.422939629028139
clocks 21.302029245266876
theory 21.202487052531986
"interval relations" 21.196059557905205
fluents 21.015829609797386
hence 20.922692861643302
terms 20.600805279156486
"theories of temporal incidence" 20.407184289972932
instants 19.962638800126424
"nary relations" 19.939544268204173
timeinterval 19.879253198304003
"description logics" 19.654527953693918
structures 19.571973290449389
"time point" 19.476032244907973
applications 19.465102090006003
owltime 19.459101490553131
iwasaki 19.459101490553131
"time community sentiment" 19.068322982087675
object 19.037444360548083
models 18.744560601155037
williams 18.71497387511852
support 18.680737430931007
"representation of time" 18.546254720149896
information 17.984214545987779
"triple stores" 17.954645502230758
rdf 17.915831169049174
"temporal ontologies" 17.666633874998642
properties 17.611664359927435
timeline 17.526721565587188
paper 17.167337732630401
timepoint 16.845388426244352
"taxonomy of temporal features" 16.836479149932369
uncertainty 16.785266909588593
fact 16.635532333438686
durations 16.479184330021646
representation 16.362155443614604
absolutist 16.11809565095832
pinto 16.094379124341003
papers 15.850179920094334
values 15.63717354962666
lamport 15.567281192442506
"periodic subintervals" 15.222612188617115
batsakis 15.075951177178808
"reviewed ontologies" 14.722194895832201
"time instants" 14.534713025615376
origo 14.484941211906902
nebel 14.484941211906902
"temporal intervals" 14.451858789480823
"time domain" 14.387371636790224
sparql 14.33407575382444
sergot 14.33407575382444
structure 14.329725504366651
reasoning 14.241270408660681
"temporal measures" 14.16606672028108
"temporal aspects" 13.862943611198906
"allens relations" 13.862943611198906
kabanza 13.621371043387192
granularity 13.588073212524101
domain 13.490894827128884
" ermolayev" 13.354993539365466
bernstein 13.183347464017316
termhoods 13.183347464017316
"time lines" 13.047982193632926
"reviewed temporal theories" 13.032386152085929
prior 12.875503299472802
"temporal region" 12.863238455235498
"scale factors" 12.824746787307683
instant 12.648415968859537
account 12.648415968859537
kowalski 12.476649250079014
addition 12.476649250079014
franconi 12.476649250079014
representing 12.424533248940001
requirements 12.424533248940001
"implemented ontologies" 12.364169813433264
"qualitative relations" 12.178089750893692
part 12.080565146901902
"time structure" 12.022372279358398
"temporal structures" 11.777755916665761
"structuring of time" 11.777755916665761
"information systems" 11.777755916665761
keberle 11.675460894331879
respect 11.675460894331879
present 11.675460894331879
representativeness 11.561487031584658
discussion 11.51292546497023
"nary relation" 11.285777172830763
state 11.266065387038703
notes 11.266065387038703
means 11.266065387038703
fikes 11.266065387038703
"temporal rdf" 11.182079924046002
language 11.117014395903738
past 11.090354888959125
"binary relations" 11.090354888959125
"concrete domains" 11.090354888959125
"owltime ontology" 11.090354888959125
"intl symp" 10.986122886681098
"density of time" 10.83220080440884
"intl joint conf" 10.83220080440884
"temporal logics" 10.83220080440884
"temporal location" 10.76621070741362
impact 10.750556815368331
semantics 10.741986822532629
expressiveness 10.556229318461034
"performance simulation initiative" 10.489522684399441
research 10.397207708399179
date 10.25857827228719
representations 10.093641658653693
"bag of terms" 9.9396265991520014
"temporal structure" 9.9098460270725646
"sufficient expressive power" 9.8875105980129874
"highlevel temporal features" 9.8875105980129874
bacchus 9.7295507452765655
krieger 9.7295507452765655
dolce 9.6566274746046012
event 9.6566274746046012
value 9.6566274746046012
"allens interval relations" 9.6566274746046012
computation 9.5915810911934827
"different granularities" 9.406482647787449
results 9.4052323871006802
"semantic web standards" 9.2731273600749482
"formal representations" 9.2731273600749482
"concise representation" 9.2731273600749482
parts 9.2542679964960772
"valid time" 9.2103403719761836
comparison 9.2103403719761836
"different granularity" 9.1335673131702695
"different time lines" 8.987196820661973
choice 8.9587973461402743
graphs 8.9587973461402743
change 8.9587973461402743
matzke 8.9587973461402743
"branching structure" 8.8333169374993208
"time representation" 8.8333169374993208
"subsequent sections" 8.8333169374993208
"number of citations" 8.8333169374993208
"distributed systems" 8.8333169374993208
"clinical narratives" 8.8333169374993208
chronoids 8.7888983093448783
montanari 8.7888983093448783
"highlevel features" 8.6711152736884927
"situation calculus" 8.6711152736884927
"anisotropy of time" 8.6711152736884927
"time ontology" 8.6275569296433492
domains 8.6176020886735305
periods 8.5133569021169961
"implied relations" 8.4996400321686494
"timeline ontology" 8.4996400321686494
"basic time theory" 8.4996400321686494
point 8.4495490402790256
"time model" 8.4428120076448359
reason 8.3615441897309228
sumo 8.317766166719343
"ontology of time" 8.317766166719343
"realtime systems" 8.317766166719343
"calendar systems" 8.317766166719343
collection 8.2622170983903995
number 8.1443612237638856
entities 8.1287260265666301
"feature of time" 8.1241506033066297
"relativist view" 8.1241506033066297
"time boundaries" 8.1241506033066297
"temporal extent" 8.1241506033066297
"document corpus" 8.1241506033066297
"instant of time" 8.1241506033066297
pease 8.0471895621705016
world 8.0471895621705016
hayes 8.0471895621705016
"models of time" 7.9171719888457748
"theory of time" 7.9171719888457748
"amount of time" 7.9171719888457748
"temporal slice" 7.9171719888457748
"google scholar" 7.9171719888457748
decades 7.7836405962212529
minutes 7.7836405962212529
problem 7.7836405962212529
"intl workshop" 7.6948480723846107
"ancient times" 7.6948480723846107
"point in time" 7.6948480723846107
timeintervals 7.6948480723846107
"model of time" 7.6948480723846107
"time quantity" 7.6948480723846107
egm 7.6902860206767683
a15 7.6902860206767683
model 7.6299278811690678
rdfs 7.6246189861593985
"ontology of sociocultural time expressions" 7.4753392365667368
"possible way" 7.4547199493640015
"related work" 7.4547199493640015
compositions 7.4547199493640015
"basic models" 7.4547199493640015
logic 7.4308090850680806
"number of parallel independent time lines" 7.4271441334086159
worksfor 7.426576934570841
psitime 7.3944585664101901
"document collection" 7.3610974479161007
feature 7.2529378282970773
"time structures" 7.2214672029392277
pustejovsky 7.193685818395112
plexousakis 7.193685818395112
"date values" 7.193685818395112
"linear time" 7.193685818395112
months 7.1670378769122198
artale 7.1670378769122198
" allen" 7.1670378769122198
"mixed pointintervalbased framework" 7.0527210492323231
"project by cadence design systems" 6.9930151229329605
"european semantic web conference" 6.9314718055994531
"new object" 6.9077552789821377
timepoints 6.9077552789821377
importance 6.9077552789821377
hypothesis 6.9077552789821377
" preventis" 6.9077552789821377
"ontology specification language" 6.8679744089702925
"support for undefined intervals" 6.8679744089702925
"foundations of computer science" 6.8679744089702925
"suggested upper merged ontology" 6.8679744089702925
"relationships between intervals" 6.8679744089702925
"periodicity in time structures" 6.8023947633243109
"nonconvexity of time intervals" 6.8023947633243109
"terminology contribution peaks" 6.8023947633243109
"qualitative temporal reasoning" 6.8023947633243109
