Term CValue
time 720.97575625353704
relations 221.62390207939367
Time 194.96986078827177
intervals 182.36963991890622
interval 179.51375669649207
ontology 138.32806777261516
features 129.57071951087804
points 120.53028121845648
properties 114.31657755805735
theories 107.83389708996862
ontologies 106.9422854301679
OWL 105.53336227508812
Ontology 102.46780022405319
representation 95.383072056094349
relation 88.607314581579672
"time points" 88.379568625997081
"Semantic Web" 81.380692780557013
point 79.210444284932336
"temporal features" 74.7968322830841
Reasoning 70.834335183648605
"time intervals" 69.770078151703387
Interval 66.542129333754744
theory 66.132213136962747
structure 62.168530688160089
Logic 59.738548396818665
"Artificial Intelligence" 59.574390102653844
"time interval" 57.762659530033808
approach 55.936977471187582
property 55.913872565168916
structures 55.569053577589642
reasoning 54.78413279491641
set 53.282696000403327
"time line" 50.536165278733051
community 50.536165278733051
model 49.087856329240061
language 47.82715545863622
collection 46.483436564817303
consistency 46.245123118254291
information 46.039589237728713
domain 45.608422853077762
coverage 45.401140326676412
analysis 45.054566736396445
elements 44.23539279573469
Ontologies 43.237431190665973
"Temporal Logic" 42.95798875429282
logic 39.561022234670467
Information 39.432055597128759
line 39.320349151764169
Logics 39.239532376094402
entities 39.131309011611449
object 39.060356429171598
values 38.746798522056686
representations 38.589715365706496
terms 38.425330159364144
TIME 38.169304742834321
objects 37.945247906578608
review 37.8829144922503
Systems 37.864168317034633
papers 37.42786446831937
"temporal incidence" 37.093104226334113
SPARQL 36.859051938405706
RDF 36.858442284815077
TimeLine 36.83582159547138
Representation 35.50731679845984
part 34.124168889105
OWL-Time 33.964211847437312
"Temporal Reasoning" 33.721003842121917
logics 33.048007987984121
models 32.911792355820587
Relations 32.77526661193194
clocks 31.65441728969564
class 31.652278944537308
concept 30.856575220734253
support 30.810244026709128
"Computer Science" 30.498475944637594
number 30.046428022439692
instants 29.97861555921763
"features of time" 29.943958200189638
knowledge 29.819476406705835
TimeInterval 29.818879797456006
aspects 29.1886522358297
duration 29.1121815835177
"TIME community" 29.029630625767844
Table 28.969882423813804
future 28.668151507648879
Calendar 28.545061163059561
"query language" 28.369866293364026
date 28.320013377163477
incidence 28.124474589903613
example 27.242742086774385
Point 26.877613137649472
domains 26.784880875231959
instant 26.756264549510558
"4D fluents" 26.479728569431529
"time point" 26.402975732998392
granularity 26.376848000782076
languages 25.927250012567391
Section 25.296831937719073
systems 24.958412781361623
concepts 24.953298500158027
"temporal logic" 24.951087479998808
Science 24.810354400455243
semantics 24.169470350698415
predicate 24.169470350698415
beginning 24.169470350698415
Intervals 24.012525738031542
"temporal information" 23.965858188431927
query 23.848943611523485
Knowledge 23.831435800338998
"temporal properties" 23.555511833331522
taxonomy 23.393717343898153
PSI 23.38474728736405
section 23.350921788663758
events 23.292873099964716
"temporal relations" 23.122974063169316
paper 23.068610078222104
description 22.872231832845998
periods 22.820219020739582
research 22.642807898291547
SWRL 22.432763298121866
applications 22.364159848092005
numbers 21.837436117176292
