artificial intelligence,347
temporal constraints,285
temporal logic,267
temporal reasoning,241
computer science,230
   ,229
temporal databases,223
time intervals,222
temporal representation,193
other hand,176
time points,174
temporal information,153
time units,151
time interval,145
temporal relations,134
    ,121
valid time,108
time t,107
temporal intervals,105
knowledge base,99
 fi,98
normal form,93
basic relations,92
minimal network,92
time granularity,91
other words,91
periodic events,90
event calculus,90
data model,89
time point,89
temporal logics,89
database systems,88
interval algebra,87
temporal operators,83
lecture notes,83
transaction time,81
fi ,81
logic programming,79
applied logic,79
future work,78
event e,77
natural numbers,76
temporal data,76
hand side,75
query language,74
ninth international symposium,73
association rules,71
different granularities,71
international conference,70
property p,70
temporal types,69
expressive power,69
minmax ctl,67
temporal objects,65
next section,65
     ,64
resolution method,63
a montanari,63
time line,63
interval relations,60
same time,60
time unit,60
knowledge representation,59
computational complexity,59
mit press,58
data objects,58
initial state,56
t i,56
morgan kaufmann,55
model checking,55
information systems,54
 fi ,54
temporal dimension,54
large itemsets,53
right hand side,52
temporal resolution,52
phd thesis,52
data engineering,51
constraint propagation,51
time granularities,50
 y ,50
 t1,50
temporal relationships,49
step clauses,49
fuzzy match,49
temporal element,49
f i,49
time expressions,48
current time,48
time series data,48
same way,48
step resolution,48
convex relations,47
constraint networks,47
path consistency,47
resolution rule,47
speci cations,46
interpretation contexts,46
search space,46
modal logic,46
international symposium,46
temporal value,45
temporal relation,45
partial order,45
coercion functions,44
previous section,44
arti cial intelligence,44
 journal,44
coercion function,44
nonconvex intervals,44
articial intelligence,44
interpretation context,43
s jajodia,43
temporal constraint,43
integrity constraints,43
      ,43
time domain,43
qualitative relations,42
polynomial time,42
technical report,42
mso  ,42
satisfiability problem,42
temporal queries,42
time representation,41
  fi,41
new york,41
query languages,41
fi  ,41
consistency problem,41
acm transactions,40
situation calculus,40
query processing,40
t2 ,39
de nition,39
temporal aspects,39
real numbers,39
multiple granularities,39
objective chance,39
precise match,38
i j,38
fourth international conference,38
modal operators,38
decision procedure,38
t l,38
t o,38
schema change,38
branching time,38
r snodgrass,38
ieee transactions,38
current state,38
truth value,37
different types,37
temporal data objects,37
temporal entities,37
execution time,36
model m,36
 t ,36
speci cation,36
time instants,36
y shahar,36
calendar patterns,36
m fisher,36
ieee computer society press,36
a bolotov,35
e l,35
truth values,35
theoretical computer science,35
firstorder logic,35
in du,35
department of computer science,35
binary relations,35
following example,35
legal values,35
international workshop,35
following conditions,35
left hand side,35
constraint solver,35
d l,35
temporal values,34
clk1 ,34
p terenziani,34
time structure,34
preconvex relations,34
continuous change,34
relation r,34
computational intelligence,33
constraint network,33
a segev,33
c dixon,33
previous work,33
temporal constraint networks,33
temporal points,33
springer verlag,33
10th international symposium,32
a a,32
 si,32
j i,32
constraint propagation algorithms,32
quantitative constraints,32
 t2,32
granularity g,32
temporal expressions,31
interval network,31
t eval,30
possible values,30
temporal granularities,30
transitive closure,30
       ,30
calendar schema,30
temporal domain,30
convex intervals,30
simple mpdn,30
natural language,30
instances of events,30
knowledge about temporal intervals,30
temporal interval,30
time instant,30
order logic,30
 t  t,30
event occurrences,29
proof methods,29
linear time,29
quantitative information,29
decision time,29
breadthfirst search,29
time period,29
decision procedures,29
concurrent actions,29
tw ,29
point in time,29
fi   ,29
point algebra,29
vice versa,29
related work,29
m v,28
temporal patterns,28
general theory,28
upper bound,28
intelligent systems,28
mazurkiewicz traces,28
temporal association rules,28
temporal resolution rule,28
point relations,28
propagation algorithm,28
other events,28
petri nets,28
knowledge engineering,27
bitemporal databases,27
state ,27
resolution rules,27
y shoham,27
pointbased semantics,27
basic relation,27
finite number,27
basic time intervals,27
r t snodgrass,27
equivalence relation,27
ctl formula,27
real world,27
continuous time,27
data sets,27
end time,26
m franceschet,26
discrete time,26
application domain,26
k1 i0 ,26
circuit consistency,26
total number,26
reactive systems,26
significant points,26
path expressions,26
inference rules,26
van beek,26
